"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"24",2043,-21918468.120634,-17353584.0348508,-23251502.0519716,-20685428.3511749,-17902723.8777154,-24773277.7585899,-15925945.6901523,-25179465.1763396,-16812286.7143902,-19473625.0254012,-24920165.9696493,-23596500.0697536,-23265940.6146243,-21368074.7014915,-18502864.6555823,-17912102.7405381,-19677494.7128779,-17353584.0348508,-23601566.7391036,-23251502.0519716,-20600393.1552615,-20705727.1182864,-24301594.7015135,-28247518.5779073,-25132188.0247776,-24819880.0404837,-21748825.4363405,-28203027.0770738
"25",2044,-23456916.7967494,-18837688.8493708,-24530350.9536034,-21843481.3654543,-19000264.5470553,-26205794.3264365,-17927622.088877,-26987709.8876688,-18746781.0744576,-20852725.9684648,-26098556.2596377,-25589084.8437849,-24540752.921446,-22819671.327042,-20150821.6416872,-19009179.974038,-21159759.7850503,-18837688.8493708,-25594780.2901464,-24530350.9536034,-22499696.9357596,-21857342.8993268,-25416274.0649012,-29770709.4731859,-26904237.7156867,-26585326.8983825,-23718812.9763779,-29775492.8508936
"26",2045,19312697.8678435,13674578.3770699,17309105.9059985,21787524.1935265,24593466.9647676,21691299.8555781,19684402.1740615,20411833.5619515,24268653.6739916,23888857.0330274,23273668.3287338,17445090.8045932,17287353.126662,17925036.3967786,13394751.7282573,24566129.2189125,18028568.1564682,13674578.3770699,17450231.4432267,17309105.9059985,15920267.6459474,21727472.1491627,25312854.1049328,16245286.0772696,14506763.7048116,13011850.469469,18513364.1594277,20899037.4414619
"27",2046,-25757479.6941516,-21159607.0022612,-26263589.4409374,-23467215.6283319,-20595320.4663789,-28316160.3453761,-20988914.679057,-29786699.8537068,-21737158.3432462,-22888513.104187,-27835033.6938359,-28631136.662474,-26267284.1703553,-25031441.4420284,-22676405.0610762,-20601059.6613209,-23366747.8000555,-21159607.0022612,-28637683.1775554,-26263589.4409374,-25418986.9731276,-23471178.9976153,-27008100.8818976,-31995424.7202269,-29638224.1319919,-29214527.7506748,-26793923.2497526,-32146655.1163197
"28",2047,-26573168.77812,-22040386.6520902,-26780391.0806803,-23978988.535836,-21135197.6690479,-29038761.8157029,-22108813.1058973,-30833678.3691917,-22849885.9756447,-23598770.7274715,-28445836.3043524,-29742951.3855833,-26781221.3429611,-25831343.163542,-23606718.9565612,-21138215.7680408,-24162239.4790235,-22040386.6520902,-29749775.5782197,-26780391.0806803,-26489878.9627317,-23980661.2599834,-27530128.5330259,-32750678.7931882,-30652495.6030575,-30146211.2819377,-27960767.0265266,-32995222.0827031
"29",2048,-27196517.2047946,-22758125.6069483,-27098621.2849626,-24317637.7412561,-21527868.8173589,-29568312.4858253,-22993967.4272086,-31676016.6658728,-23740571.5880601,-24134228.1917583,-28914647.8726411,-30618239.2982182,-27097256.0354548,-26453263.3824241,-24344862.2532433,-21528072.6708086,-24777202.3483233,-22758125.6069483,-30625304.0567206,-27098621.2849626,-27333543.0443437,-24318234.5744171,-27895532.4485141,-33301233.8243967,-31464803.5874316,-30857480.2681383,-28918348.7255011,-33649555.9200381
"30",2049,-27647981.1872977,-23327601.6816574,-27243871.7416335,-24505197.0400401,-21787748.0874328,-29922532.2602182,-23669890.3056731,-32333764.7897992,-24430234.9970017,-24514660.6590881,-29256948.146229,-31282221.9249229,-27240409.416736,-26913342.4522558,-24911847.7947835,-21785174.6772852,-25227884.9592226,-23327601.6816574,-31289446.5576187,-27243871.7416335,-27973710.0215381,-24504407.5397784,-28123715.5958039,-33670054.9727069,-32097015.8864856,-31369608.0931149,-29687530.9013746,-34130709.1800426
"31",2050,11592894.7959483,6510212.20571819,11090113.5922323,15529118.7476209,17984610.0463067,13998181.1122458,10889429.5974596,11320888.8803295,15044206.5630047,16601617.1904651,15951544.5075682,8281409.28929287,11081527.404916,10385816.0942017,5978341.73402029,17971323.3284274,10644036.5404222,6510212.20571819,8284759.91034117,11090113.5922323,7386388.85289326,15483102.1525418,18310295.4605035,8581971.67523685,5881221.27169442,5026582.20924017,9202788.14988452,12402883.382141
"32",2051,-28109700.6611234,-24074444.7118606,-27097076.2257094,-24514433.2779633,-21958220.5483972,-30178736.2236182,-24490228.2145091,-33172627.8924656,-25296832.6949908,-24875533.1839664,-29602052.2802883,-32063844.9819863,-27090428.2065531,-27409334.2744405,-25601550.0628257,-21952538.5815763,-25701220.9436275,-24074444.7118606,-32071089.7645507,-27097076.2257094,-28731817.9905324,-24509921.0603897,-28215617.9268515,-33954430.3369095,-32902820.941494,-31897510.0963693,-30728315.4704405,-34651890.6357701
"33",2052,-28154593.8013468,-24276613.6135584,-26849343.050061,-24371343.4700196,-21893271.7145205,-30115750.058186,-24672587.8330523,-33387508.7030966,-25515362.7238463,-24884994.4412688,-29629233.9085915,-32220241.8432731,-26841470.4106486,-27473205.8978535,-25755455.2719647,-21886556.8400073,-25756434.5053737,-24276613.6135584,-32227394.6789488,-26849343.050061,-28888650.976938,-24365321.1240219,-28104418.7990171,-33909161.920525,-33112854.7198071,-31966686.3524998,-31029302.5171412,-34731679.6594497
"34",2053,-28095320.0456332,-24381150.1733105,-26506744.3282781,-24152658.9782257,-21743288.5212258,-29947403.7769637,-24722748.8419874,-33484892.6788716,-25613510.4208368,-24799020.2675064,-29577260.7065572,-32244515.6168566,-26498007.1854635,-27432711.4069141,-25800891.3702142,-21735767.970333,-25710780.5514954,-24381150.1733105,-32251781.262273,-26506744.3282781,-28921832.0702881,-24145669.8284597,-27905666.484794,-33760918.8936544,-33204551.8506422,-31929550.7246121,-31203084.3710351,-34708592.8600323
"35",2054,-27944295.2874268,-24399397.658244,-26081920.3178156,-23868345.3667242,-21518805.1669335,-29688376.2599761,-24656781.0659595,-33477414.1966724,-25605910.9298461,-24629913.4337388,-29457078.3991264,-32151278.0445969,-26072698.2059174,-27299774.9781842,-25750943.2562329,-21510654.5908942,-25582531.9710866,-24399397.658244,-32158027.134144,-26081920.3178156,-28847727.2992688,-23861691.2973901,-27629427.6643832,-33524191.5650201,-33187086.2836388,-31795021.5923848,-31262933.3843944,-34589452.1230966
"36",2055,7452828.09276938,2572341.43872418,8342114.45912606,12167561.5924994,14223306.583845,9932836.44284502,6516799.91824651,6098198.30201587,9994101.02342758,12519901.3358988,11332841.0254553,3604722.93513203,8339100.85940832,6324513.37428078,2193368.37628335,14216001.6279241,6701448.61855009,2572341.43872418,3608008.34098652,8342114.45912606,3116587.56273475,12128208.4801241,14223151.6659568,4578790.56234783,1093146.73490512,1009563.05271709,4022080.63489699,7462007.37090287
"37",2056,-27413017.1472008,-24217142.8736265,-25026603.560747,-23149708.1711371,-20892234.9742901,-28960154.783134,-24229687.9393102,-33192514.356725,-25316905.2853031,-24083306.4611787,-29033609.126557,-31666532.9470199,-25017667.2514854,-26802960.8695044,-25411915.7980114,-20883376.4640904,-25121947.880401,-24217142.8736265,-31673117.9718205,-25026603.560747,-28439733.3440942,-23146610.236642,-26882259.2409071,-32838835.8439811,-32887340.9106714,-31269821.0579449,-31090886.817593,-34090554.5138437
"38",2057,-27053314.1211054,-24034186.3868503,-24418303.3095962,-22731925.5434212,-20513697.6216323,-28514480.803752,-23893811.127628,-32935258.931517,-25058005.8609664,-23724887.8834169,-28738153.7864971,-31299986.0277846,-24409927.8329589,-26459783.9183639,-25143577.483205,-20505270.9194014,-24802847.352833,-24034186.3868503,-31306315.1489131,-24418303.3095962,-28133384.6496188,-22730999.6252746,-26427154.7100465,-32410118.3542383,-32631109.7578252,-30899775.7803557,-30882081.6369948,-33727808.5745449
"39",2058,-26642971.5203308,-23800272.1066366,-23769872.9172865,-22283106.979403,-20104405.3437743,-28026321.9162496,-23492465.0785282,-32613034.3613121,-24737165.5023193,-23320587.7559054,-28393826.6386573,-30865603.0745172,-23762118.2762503,-26068906.2240789,-24821218.4411239,-20096361.3205266,-24433014.6636217,-23800272.1066366,-30871338.5875921,-23769872.9172865,-27772631.0751582,-22284538.148149,-25926959.5755017,-31935692.3882668,-32312660.9002041,-30471784.7287991,-30605363.9211012,-33305038.0833082
"40",2059,-26189618.5587162,-23522510.2482613,-23089551.755576,-21809905.548821,-19670640.7808764,-27502514.2499886,-23035593.477199,-32234356.8726901,-24361978.9945278,-22878300.3007986,-28007303.4888038,-30373824.4671369,-23082428.5671214,-25638561.6860989,-24451849.2954075,-19663175.4364317,-24019191.8909318,-23522510.2482613,-30378863.7638928,-23089551.755576,-27365065.0293719,-21812182.8949861,-25389333.5628788,-31420693.8220052,-31938330.9091303,-29994564.8907227,-30269365.0214299,-32830377.0128152
"41",2060,5329716.809055,553268.620605871,7382822.66170391,10187734.5701802,12015397.8061093,7752823.19513059,4691803.07654613,3216497.9784603,7333858.79373419,10248355.9814725,8419445.15681365,1516781.20208031,7378104.3083145,4273010.67542981,481527.223014548,12008398.226992,4666749.21623775,553268.620605871,1521160.52910936,7382822.66170391,1112087.59538108,10143847.5123206,11881578.7700057,2496225.52926084,-1362833.62621298,-791520.130452543,1364546.04464948,4751249.3094881
